,fish_ID,trial,swim_number,start_time,start_x_position,start_y_position,start_accumulated_path,start_accumulated_orientation,end_time,end_x_position,end_y_position,end_accumulated_path,end_accumulated_orientation,duration,interbout_interval,average_speed,same_direction_as_previous_bout,correct_bout
0,100,1,0,0.4526636600494385,-0.7838137614673982,-0.20847827395439922,0.0638147219443681,99.85526100060633,0.7637722492218018,-0.8050682378936412,-0.10433979750364929,0.18385827201444727,94.64627703359474,0.3111085891723633,0.29999756813049316,0.3858573959318478,1.0,1
1,100,1,1,1.0526587963104248,-0.8065845640473052,-0.09281572478234683,0.19938302168924338,93.48155582032086,1.4082114696502686,-0.8067942750165207,0.01092436744746833,0.3159529761729232,80.61683449785596,0.35555267333984375,0.28888654708862305,0.32785565465924676,1.0,1
2,100,1,2,1.6526539325714111,-0.8057670818240169,0.018335338904725152,0.32445596896241113,78.2042058154766,2.0526506900787354,-0.7922721115728376,0.14370913757545978,0.4687176023219308,80.50136805693182,0.3999967575073242,0.24444246292114258,0.36065700696805814,0.0,-1
3,100,1,3,2.397092342376709,-0.7907679353298693,0.15541886066591015,0.48517584565024663,80.18601289806975,2.6304237842559814,-0.7772910780103378,0.2302534987944279,0.5704014320230613,75.22547828567986,0.23333144187927246,0.34444165229797363,0.3652554738718455,0.0,1
4,100,1,4,2.9193103313446045,-0.7745060338296383,0.24357364365658127,0.584522195101215,74.67107486824716,3.2304189205169678,-0.7332914733928089,0.3321377135074517,0.6966754729706395,60.59486656988702,0.3111085891723633,0.28888654708862305,0.3604956011268732,1.0,1
5,100,1,5,3.5859715938568115,-0.7264773434972343,0.3452161821578659,0.712192330236121,61.32879345823858,3.819303035736084,-0.6955996801822217,0.4099152154713077,0.7939747684390568,60.54036455872483,0.23333144187927246,0.35555267333984375,0.3504990049530085,1.0,-1
6,100,1,6,4.163744688034058,-0.6886372273035949,0.4228047534095782,0.8112210987368371,58.96458663271915,4.4415202140808105,-0.6177916975670428,0.48718515735485035,0.921455255589251,36.88848235113983,0.27777552604675293,0.34444165229797363,0.3968461815957831,1.0,1
7,100,1,7,4.674851655960083,-0.6101275590501728,0.49320016097698866,0.9322996464212565,37.18386815593658,4.952627182006836,-0.5372608218075433,0.550511048121856,1.036711025852867,34.02570858629588,0.27777552604675293,0.23333144187927246,0.37588401295669477,1.0,1
8,100,1,8,5.2859578132629395,-0.5265091309688842,0.5576385289060263,1.0550797505892433,32.34815744694788,5.408179044723511,-0.535711826562387,0.571800969959104,1.0786070123652394,84.50721768873336,0.12222123146057129,0.3333306312561035,0.1924973385952668,0.0,0
9,100,1,9,6.119284391403198,-0.5343057295189099,0.5795756157850079,1.120346573563495,89.3995595550441,6.397059917449951,-0.44362150682622525,0.5932475142396634,1.2276645168934124,6.542521594712525,0.27777552604675293,0.7111053466796875,0.38634772781189697,0.0,1
10,100,1,10,6.785945653915405,-0.43063902886825406,0.5948496464302836,1.255611182989412,4.506125836938736,6.9970550537109375,-0.36342705279883086,0.49674887527742634,1.393430728212195,-55.31746877495061,0.21110939979553223,0.3888857364654541,0.6528347167689666,1.0,1
11,100,1,11,7.441495895385742,-0.3509314009678565,0.47881850608055615,1.4195527994572217,-55.75897340688789,7.685938358306885,-0.38659339373781604,0.3510097930753065,1.5672336934316036,-108.93211757137033,0.24444246292114258,0.4444408416748047,0.6041540091257546,1.0,1
12,100,1,12,8.074824094772339,-0.3919294238998657,0.33605003282086887,1.5873425686907012,-109.55016895849985,8.374821662902832,-0.4256309460714679,0.23908442557288817,1.705013680296645,-108.48756953752127,0.29999756813049316,0.3888857364654541,0.3922402182765662,0.0,-1
13,100,1,13,8.663708209991455,-0.4292931140600624,0.2294269899688338,1.7163020002323606,-108.84182052512733,8.819262504577637,-0.5104271068644142,0.09170574803832805,1.8895217293388669,-127.08201353037657,0.15555429458618164,0.28888654708862305,1.1135644282102253,0.0,1
14,100,1,14,9.408146619796753,-0.5178095616859478,0.08221078404743391,1.9106857543943079,-127.20442580432973,9.619256019592285,-0.5657966553483499,0.04332591932767176,1.9846758230883097,-141.3118539979132,0.21110939979553223,0.5888841152191162,0.3504821138502791,1.0,1
15,100,1,15,9.930364608764648,-0.5723660789936388,0.03805230573317864,1.9989020138975206,-141.532243983258,10.15258502960205,-0.6716926253657519,0.09142468724596939,2.129809710155371,-217.7666510929066,0.22222042083740234,0.3111085891723633,0.5890894084555565,1.0,1
16,100,1,16,10.341472387313843,-0.677637638531984,0.09595223381132913,2.142430641700912,-219.12974629976634,10.430360555648804,-0.6721116540848852,0.09704608366692345,2.1550755093745124,-243.43154423481792,0.08888816833496094,0.188887357711792,0.14225591448740654,1.0,1
17,100,1,17,10.885912418365479,-0.6681598932675886,0.09200216303848197,2.1692450032468855,-245.91559600921573,10.97480058670044,-0.6650491716208715,0.09062586153424648,2.1796549634659073,-248.13310286013075,0.08888816833496094,0.4555518627166748,0.1171130018091211,1.0,-1
18,100,1,18,11.352575302124023,-0.6665246768165823,0.09220399146684588,2.1906996362947666,-248.00865024251107,11.574795722961426,-0.6001460852513714,0.1502602428776155,2.2951867967138355,-319.10500043130196,0.22222042083740234,0.377774715423584,0.47019603340379634,1.0,1
19,100,1,19,12.05256962776184,-0.5823847935343752,0.16320739177209811,2.327164810578779,-325.4810161496571,12.308123111724854,-0.4952718811500322,0.12700307525913843,2.4371266617066567,-383.5914162770132,0.2555534839630127,0.47777390480041504,0.4302889924357006,1.0,1
